username,comment,polarity,sentiment
@mimoali-mr2yd,Skip navigation,0.0,neutral
,Sign in,0.0,neutral
,Subscribe,0.0,neutral
5 months ago,,0.0,neutral
,,0.0,neutral
Read more,Here is the ultimate study guide for anything and everything you need to know about quadratics. Go to jensenmath.ca for free math resources for all math topics. Hope you enjoy the video and that it helps your understanding. ,0.26666666666666666,positive
@maheshchavan2967,,0.0,neutral
,,0.0,neutral
,,0.0,neutral
4 months ago,,0.0,neutral
,,0.0,neutral
,,0.0,neutral
@sandhyaprabhu6996,,0.0,neutral
,"[00:00] The top 10 things to know about quadratics
- Quadratic relationships can be recognized from equations, tables, and graphs
- Quadratic relationships have a degree 2 polynomial equation and form a parabola shape
- All parabolas have a vertex and are symmetrical about a vertical axis
- The standard form equation of a quadratic is y=ax^2+bx+c
- From the standard form equation, we can determine properties of the quadratic relationship

[] Understanding the basics of quadratic equations in standard and vertex form
- Standard form equation: a determines direction of opening, C reveals Y-intercept
- Table of values can be used to graph standard form equations
- Vertex form equation: H and K values determine vertex coordinates, a determines direction of opening
- Converting standard form to vertex form can help find vertex of Parabola

[] The video explains the three forms of quadratic equations and their significance in solving and graphing quadratic functions.
- The standard form is ax^2 + bx + c and can be used to find the vertex, axis of symmetry, and intercepts
- The vertex form is a(x-h)^2 + k and can be used to find the vertex and axis of symmetry
- The factored form is a(x-m)(x-n) and can be used to find the x-intercepts

[] Factored form basics of quadratics: finding X-intercepts, axis of symmetry, and vertex
- X-intercepts can be found by setting Y to zero and using the zero product rule
- Axis of symmetry is the average of X-intercepts
- Vertex falls on the axis of symmetry and can be found by substituting the X-coordinate into the factored form equation
- Quadratics with leading coefficient of one can be factored using product and sum method

[] Learn how to factor and solve quadratic equations using factoring, including the difference of squares rule.

[] The video explains how to solve quadratic equations by factoring and completing the square
- To factor a quadratic, find numbers that multiply to C and add to B, then use the zero product rule to find the roots
- If factoring is not possible, convert the quadratic to vertex form by completing the square, then rearrange to isolate X

[] Learn how to solve quadratic equations using completing the square and the quadratic formula.
- Completing the square involves rearranging the equation to isolate X
- Quadratic formula is x = (-b ± sqrt(b^2 - 4ac)) / 2a
- Quadratic formula can be used to find solutions without completing the square
- Example: x^2 - 6x + 8 = 0 can be solved using quadratic formula to get x = 3 ± sqrt(17)

[] Quadratic formula and discriminant determine the number and type of solutions to a quadratic equation
- Discriminant is the part under the square root in quadratic formula
- If discriminant is greater than zero, there are two real solutions
- If discriminant is equal to zero, there is only one real solution
- If discriminant is less than zero, there are no real solutions
- If discriminant is a perfect square, the quadratic is factorable

[] The video explains three ways to find the vertex of a parabola in standard form
- Completing the square method involves factoring and adding/subtracting a constant
- Finding X-intercepts and averaging them gives the X-coordinate of the vertex
- Using the formula B/2A gives the X-coordinate, which can be used to find the Y-coordinate",0.05606060606060606,positive
,Reply,0.0,neutral
2 months ago,This is the most clear video I've ever seen on quadratic,0.3,positive
,Reply,0.0,neutral
,"Oh my God. Love you, I wish you were my Maths teacher at college. Every student deserves a teacher like you",0.5,positive
@PotatoSinghThe3rd,Reply,0.0,neutral
,I love these videos! Keep up the good work.,0.6625,positive
,Reply,0.0,neutral
5 months ago,comprehensive and concise. thank you.,0.1,positive
,Reply,0.0,neutral
,Hero. Saved my exam.,0.0,neutral
@khadeejahali9105,Reply,0.0,neutral
,Spot on. 10 out of 10. Brilliant.,0.9,positive
,Reply,0.0,neutral
4 months ago,Precise and informative ,0.4,positive
,Reply,0.0,neutral
,Sir pls continue this series  pls sir,0.0,neutral
@TobyDeng-qc7px,Reply,0.0,neutral
,"Method 1) 
(- x= 3) equation is given 
Multiplying both sides by (-1)
 -1*-x=-1*3
Then x=-3
or 

Method 2) 
Let the equation be (- x= 3)

 If we multiply both sides with ""MINUS"" sign 
-(- x)= -(3) 
Then x= -3.
 Which one is correct or both methods are correct .
Please help ",-0.05,negative
,Reply,0.0,neutral
10 days ago,1 reply,0.0,neutral
,,0.0,neutral
,"Please do this to all general topics in Maths - trigo, geometry, PnC , Calc-1/2 , Lin Alg , Disc Math....",0.05000000000000002,positive
@vascobishop3359,Reply,0.0,neutral
,Man I love this series,0.5,positive
,Reply,0.0,neutral
10 days ago,THE BEST!!!,1.0,positive
,Reply,0.0,neutral
,you could also use the identity (x+h) square - h squared = x squared + 2hx to complete the square.,0.1,positive
@senthilnathanmeenakshisundaram,Reply,0.0,neutral
,Too good sir.. thanks a lot,0.44999999999999996,positive
,Reply,0.0,neutral
2 months ago,Holy shit I learned a lot more in this video than in my high school years!!,0.18333333333333335,positive
,Reply,0.0,neutral
,1:21  ???  Please explain why this is happening?  How can the difference of their differences all be the same? ????,0.0,neutral
@Limitless-learner,Reply,0.0,neutral
,"Now
How do we apply quadratic in solving real life problems?",0.2,positive
,Reply,0.0,neutral
5 months ago,nice and clear thanks...,0.3,positive
,Reply,0.0,neutral
,Which row is this?,0.0,neutral
@sammer-samm9-,Reply,0.0,neutral
,The min or max can be found by taking F´(x) = 0,0.0,neutral
,Reply,0.0,neutral
3 weeks ago,thank you!,0.0,neutral
,Reply,0.0,neutral
Read more,I fell in love with,0.5,positive
@mosshead_vinsmoke,Reply,0.0,neutral
,Hi could you make video on book name cengage maths,0.0,neutral
,Reply,0.0,neutral
2 months ago,too good.,0.7,positive
,Reply,0.0,neutral
,Very good,0.9099999999999999,positive
@NathalieAlbrecht-f2d,Reply,0.0,neutral
,"I have a unit test in about 2 hours, so I gotta lock in",0.0,neutral
,Reply,0.0,neutral
5 months ago,Nice mathematics thanks,0.4,positive
,Reply,0.0,neutral
,Thanks,0.2,positive
@olgakachayeva9328,Reply,0.0,neutral
,"For your visually impaired viewers, please avoid that dark pink as it is hard for visually impaired people like myself to read against  the dark background of the blackboard.",-0.1152777777777778,negative
,Reply,0.0,neutral
5 months ago,1 reply,0.0,neutral
,,0.0,neutral
,TYSMM,0.0,neutral
@torianobess9012,Reply,0.0,neutral
,I already know how to solve quadratics,0.0,neutral
,Reply,0.0,neutral
2 weeks ago,1 reply,0.0,neutral
,,0.0,neutral
,8 th grader understood everything ,0.0,neutral
