Comment,Compound,Positive,Negative,Neutral,Timestamp
4:30 The Most Loved & Powerful Family in The World!!!! GOD BLESS THE TRUMP FAMILY!!!!! 🫡🇺🇸🦅🇺🇸🦅🇺🇸🦅🇺🇸🦅,0.9412,0.48,0.0,0.52,2024-11-14_16-37-07
You guys first to go garbage,0.0,0.0,0.0,1.0,2024-11-14_16-37-07
They censored trump. Trump hits back.,-0.1531,0.0,0.242,0.758,2024-11-14_16-37-07
Smells like... victory.  There's nothing else like it.,0.1002,0.236,0.199,0.566,2024-11-14_16-37-07
Good I’m glad Vivek got a good role and along with Elon that is a dangerous combo,0.6908,0.353,0.124,0.522,2024-11-14_16-37-07
"Elon Musk has done a good investment on Trump
This is the reality of wonderful coordination of Capitalists & Democracy",0.765,0.268,0.0,0.732,2024-11-14_16-37-07
"THANK GOD FOR THE TRUMP TEAM !!!!
YEAH BABY !!!!!!
❤❤❤❤❤❤❤❤
🚀🚀🚀🚀🚀🚀🚀🚀",0.9931,0.656,0.0,0.344,2024-11-14_16-37-07
Vivek and Elon are tasked with breaking the old governance systems and designing a new government and writing up governance policies. President Trump will drive the government with team and implement those policies. They are tasked with building a new America. They are America's Engineers and Scientists with a free hand operate without the impediments of politics. It will be a new EV (Elon Vivek) driven American government. This will put Vivek and Elon on top of almost everything in the government.,0.8074,0.095,0.0,0.905,2024-11-14_16-37-07
I think it is ridiculous to make her president for a short time just to claim first woman president when in three months she over spent $1billion on a campaign. They want to just have claim to fame without due process once again showing disrespect for the whole process. That will not go over well at all,-0.443,0.066,0.112,0.821,2024-11-14_16-37-07
Ireland runs the Corvid bot... we have proof. Elon hides it. Making him a psychopath...,-0.1779,0.0,0.108,0.892,2024-11-14_16-37-07
Some of The world leaders  a just there to get their business running. But talk they a their for the people but that is lie .,0.0,0.0,0.0,1.0,2024-11-14_16-37-07
Bei SpaceX ist er gut. Aber in der Regierung denke ich ist er zu emotional,0.1531,0.103,0.0,0.897,2024-11-14_16-37-07
id say there gonna find out its a bigger mess than they think and itll be closer to 5 or 6 tril,-0.3612,0.0,0.106,0.894,2024-11-14_16-37-07
"Fix that, what is that? Is Trump and El-on going pro beast system? Make same waste reduction claims, similar to Reagan claims and switch government money to the circle around him",-0.4871,0.0,0.095,0.905,2024-11-14_16-37-07
"People, it’s not a real department. It’s just a name with zero authority to do anything in the Government. Both gents, Musk and ramaswamy, are advisors to the administration. If it was a real department, it would be another massive agency with layers of bureaucracy.",0.0772,0.029,0.0,0.971,2024-11-14_16-37-07
Ideas of how to efficiently cut those extremely wasteful government spending?,0.1531,0.196,0.152,0.652,2024-11-14_16-37-07
"You don’t need Elon to handle that. 
Just cut all the DEI funding, and problem solved now. 
Move on.. nothing to see here.",-0.4019,0.078,0.178,0.743,2024-11-14_16-37-07
yayyyyyyyyyy,0.0,0.0,0.0,1.0,2024-11-14_16-37-07
I hope this goes well and then countries around the world can push their governments to do the same.  This problem exists all around the world.,0.2204,0.161,0.1,0.739,2024-11-14_16-37-07
So awesome knowing they are sitting at their house shitting in their pants.,0.3804,0.241,0.154,0.605,2024-11-14_16-37-07
Finally I can feel proud to be an American,0.4767,0.279,0.0,0.721,2024-11-14_16-37-07
"We need congress to simplify the tax code, and either reform or eliminate the IRS.",0.0,0.0,0.0,1.0,2024-11-14_16-37-07
America loves Sky News!,0.6114,0.571,0.0,0.429,2024-11-14_16-37-07
"They got a certificate of participation.  Nothing of importance. Plus the Indian guy just met the ""diversity"" quota for him. Trump doesn't trust him at ALL. NO ONE DOES.",-0.7747,0.0,0.23,0.77,2024-11-14_16-37-07
Most corrupt president and richest man in the world partner up. America the beautiful,0.8074,0.378,0.0,0.622,2024-11-14_16-37-07
Not very efficient if it takes 2 people at the top to run the same department now is it? You're not fooling all of us Musk & Vivek.,0.1303,0.128,0.081,0.791,2024-11-14_16-37-07
no Democracy has ever lasted 300 years...our time is up,-0.296,0.0,0.196,0.804,2024-11-14_16-37-07
Elon found the family he always wanted,0.0,0.0,0.0,1.0,2024-11-14_16-37-07
We don't need the atf all we need is the laws and Police,0.0,0.0,0.0,1.0,2024-11-14_16-37-07
We don't need the atf all we need is the laws and Police,0.0,0.0,0.0,1.0,2024-11-14_16-37-07
Best thing I’ve ever heard,0.6369,0.512,0.0,0.488,2024-11-14_16-37-07
Fun fact: Kamala raised 3x times more money than Trump and is still tens of millions in debt 😆,0.5106,0.221,0.095,0.684,2024-11-14_16-37-07
"That will be $2 billion divided between the 2 of them and then sum. Elon didn't spend $150 million on campaign not to make it more efficient to get billions in tax payer contracts. He will be the one signing them. Vivek will get those contracts for his big pharma firm. Why are we not talking about $2 dollar a gallon gas, 50% cheaper groceries and 5% fed tax rate. That is what we voted for?  Instead of flashing a shiny object and you guys get all googly eyed.",0.4754,0.034,0.0,0.966,2024-11-14_16-37-07
"Just look at how much Camela spent in 3 months with nothing to show for it, plus being in debt to boot.",-0.3612,0.0,0.106,0.894,2024-11-14_16-37-07
"That's great, but I hope Elon survives this... He will make many powerful people very angry. Especially warmongers, politicians, generals, admirals, intelligence chiefs...",0.6783,0.394,0.246,0.36,2024-11-14_16-37-07
